path,airport,language,name,shortDesc,category,type,terminal,level,lat,long,locationId,squareImage,banner,,,
,klia,en,SEAL & GO,Seal & Go menawarkan perkhidmatan pembalutan kedap bagasi yang kemas dan rapi bagi perlindungan bagasi anda.,Baggage Wrap,location,MTB,5,2.75516,101.705143,,\/assets\/images\/MTB\/Level 5\/Traveller\/Seal & Go\/Seal&Go_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Traveller\/Seal & Go\/Seal&Go_Ban.jpg,,,
,klia,en,SEAL & GO,Seal & Go will help to protect will help to protect your luggage by wrapping it with tamper-resistant plastic film. Just wrap and go on your next travel trip!,Baggage Wrap,location,MTB,5,2.75516,101.705143,,\/assets\/images\/MTB\/Level 5\/Traveller\/Seal & Go\/Seal&Go_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Traveller\/Seal & Go\/Seal&Go_Ban.jpg,,,
,klia2,en,MICHAEL KORS,Michael Kors is the leading American fashion designer for luxury accessories and sportswear.,Shopping,location,,2,2.739626,101.689193,,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Micheal Kors\/Square.jpg,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Micheal Kors\/Banner.jpg,,,
,klia2,en,AIRSIDE SHOPPE,"From tidbits to travel toiletries, the convenience store in KLIA is stocked with items that you would need for your journey.",Shopping,location,,1,2.741293,101.69131,,\/assets\/images\/klia2\/Domestic Dep&Arr\/1A(J)\/Shop&Dine\/Airside shoppe\/Square21.jpg,\/assets\/images\/klia2\/Domestic Dep&Arr\/1A(J)\/Shop&Dine\/Airside shoppe\/Banner21.jpg,,,
,klia,en,TRAVELEX WORLDWIDE MONEY,"When you travel, you won't have to go far to find a Travelex store. With over 1,350 stores worldwide, we're easy to find!",Currency Exchange,location,MTB,5,2.753833,101.704896,,\/assets\/images\/MTB\/Level 5\/Services\/Travelex\/Travelex KLIA Departure Level 5_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Services\/Travelex\/Travelex KLIA Departure Level 5_Ban.jpg,,,
,klia,en,TRAVELEX WORLDWIDE MONEY,"When you travel, you won't have to go far to find a Travelex store. With over 1,350 stores worldwide, we're easy to find!",Currency Exchange,location,MTB,5,2.754285,101.705179,,\/assets\/images\/MTB\/Level 5\/Services\/Travelex\/Travelex KLIA Departure Level 5_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Services\/Travelex\/Travelex KLIA Departure Level 5_Ban.jpg,,,
,klia2,en,MICHAEL KORS,Michael Kors is the leading American fashion designer for luxury accessories and sportswear,Shopping,location,,2,2.73935,101.688353,ChIJnTn4R-u_zTER_RsBk_r_Mhc,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Micheal Kors\/Square (FILEminimizer).jpg,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Micheal Kors\/Banner (FILEminimizer).jpg,,,
,klia,en,MICHAEL KORS,Michael Kors is the leading American fashion designer for luxury accessories and sportswear.,Shopping,location,MTB,3,2.753213,101.706195,chijqtbc1ic_ztervrq524ir4pi,\/assets\/Images\/Contact Pier Domestic (CPD)\/Shop And Dine\/Micheal Kors (CPD 09)\/Square (FILEminimizer).jpg,\/assets\/Images\/Contact Pier Domestic (CPD)\/Shop And Dine\/Micheal Kors (CPD 09)\/Banner (FILEminimizer).jpg,,,
,klia2,en,WHSMITH,"WHSmith is a well known and well loved iconic British news, books and convenience retailing brand.",Shopping,location,,2,2.739867,101.689355,,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/WHSMITH\/SQUARE.jpg,\/assets\/images\/klia2\/Departure Level (Level 3)\/Shop & Dine\/WHSMITH\/BANNER.jpg,,,
,klia2,en,TASTE OF MALAYSIA,"A one stop center to shop for Malaysian delights with a variety of sweets, tibits and biscuits.",Shopping,location,,3,2.741755,101.686025,,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Taste of Malaysia\/Square.jpg,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Taste of Malaysia\/Banner.jpg,,,
